line, word
59, started
59, to
59, her
59, feet,
59, for
59, it
59, flashed
59, across
59, her
59, mind
59, that
59, she
59, had
60, never
60, before
60, seen
60, a
60, rabbit
60, with
60, either
60, a
60, waistcoat-pocket,
60, or
60, a
60, watch
61, to
61, take
61, out
61, of
61, it,
61, and
61, burning
61, with
61, curiosity,
61, she
61, ran
61, across
61, the
61, field
62, after
62, it,
62, and
62, fortunately
62, was
62, just
62, in
62, time
62, to
62, see
62, it
62, pop
62, down
62, a
62, large
63, rabbit-hole
63, under
63, the
63, hedge.
64, 
65, In
65, another
65, moment
65, down
65, went
65, Alice
65, after
65, it,
65, never
65, once
65, considering
65, how
66, in
66, the
66, world
66, she
66, was
66, to
66, get
66, out
66, again.
67, 
68, The
68, rabbit-hole
68, went
68, straight
68, on
68, like
68, a
68, tunnel
68, for
68, some
68, way,
68, and
68, then
69, dipped
69, suddenly
69, down,
69, so
69, suddenly
69, that
69, Alice
69, had
69, not
69, a
69, moment
69, to
69, think
70, about
70, stopping
70, herself
70, before
70, she
70, found
70, herself
70, falling
70, down
70, a
70, very
70, deep
71, well.
72, 
73, Either
73, the
73, well
73, was
73, very
73, deep,
73, or
73, she
73, fell
73, very
73, slowly,
73, for
73, she
73, had
74, plenty
74, of
74, time
74, as
74, she
74, went
74, down
74, to
74, look
74, about
74, her
74, and
74, to
74, wonder
74, what
74, was
75, going
75, to
75, happen
75, next.
75, First,
75, she
75, tried
75, to
75, look
75, down
75, and
75, make
75, out
75, what
76, she
76, was
76, coming
76, to,
76, but
76, it
76, was
76, too
76, dark
76, to
76, see
76, anything;
76, then
76, she
77, looked
77, at
77, the
77, sides
77, of
77, the
77, well,
77, and
77, noticed
77, that
77, they
77, were
77, filled
77, with
78, cupboards
78, and
78, book-shelves;
78, here
78, and
78, there
78, she
78, saw
78, maps
78, and
78, pictures
79, hung
79, upon
79, pegs.
79, She
79, took
79, down
79, a
79, jar
79, from
79, one
79, of
79, the
79, shelves
79, as
80, she
80, passed;
80, it
80, was
80, labelled
80, 'ORANGE
80, MARMALADE',
80, but
80, to
80, her
80, great
81, disappointment
81, it
81, was
81, empty:
81, she
81, did
81, not
81, like
81, to
81, drop
81, the
81, jar
81, for
81, fear
82, of
82, killing
82, somebody,
82, so
82, managed
82, to
82, put
82, it
82, into
82, one
82, of
82, the
82, cupboards
82, as
83, she
83, fell
83, past
83, it.
84, 
85, 'Well!'
85, thought
85, Alice
85, to
85, herself,
85, 'after
85, such
85, a
85, fall
85, as
85, this,
85, I
85, shall
86, think
86, nothing
86, of
86, tumbling
86, down
86, stairs!
86, How
86, brave
86, they'll
86, all
86, think
86, me
86, at
87, home!
87, Why,
87, I
87, wouldn't
87, say
87, anything
87, about
87, it,
87, even
87, if
87, I
87, fell
87, off
87, the
87, top
88, of
88, the
88, house!'
88, (Which
88, was
88, very
88, likely
88, true.)
89, 
90, Down,
90, down,
90, down.
90, Would
90, the
90, fall
90, NEVER
90, come
90, to
90, an
90, end!
90, 'I
90, wonder
90, how
91, many
91, miles
91, I've
91, fallen
91, by
91, this
91, time?'
91, she
91, said
91, aloud.
91, 'I
91, must
91, be
91, getting
92, somewhere
92, near
92, the
92, centre
92, of
92, the
92, earth.
92, Let
92, me
92, see:
92, that
92, would
92, be
92, four
93, thousand
93, miles
93, down,
93, I
93, think--'
93, (for,
93, you
93, see,
93, Alice
93, had
93, learnt
93, several
94, things
94, of
94, this
94, sort
94, in
94, her
94, lessons
94, in
94, the
94, schoolroom,
94, and
94, though
94, this
95, was
95, not
95, a
95, VERY
95, good
95, opportunity
95, for
95, showing
95, off
95, her
95, knowledge,
95, as
95, there
96, was
96, no
96, one
96, to
96, listen
96, to
96, her,
96, still
96, it
96, was
96, good
96, practice
96, to
96, say
96, it
96, over)
97, '--yes,
97, that's
97, about
97, the
97, right
97, distance--but
97, then
97, I
97, wonder
97, what
97, Latitude
98, or
98, Longitude
98, I've
98, got
98, to?'
98, (Alice
98, had
98, no
98, idea
98, what
98, Latitude
98, was,
98, or
99, Longitude
99, either,
99, but
99, thought
99, they
99, were
99, nice
99, grand
99, words
99, to
99, say.)
100, 
101, Presently
101, she
101, began
101, again.
101, 'I
101, wonder
101, if
101, I
101, shall
101, fall
101, right
101, THROUGH
101, the
102, earth!
102, How
102, funny
102, it'll
102, seem
102, to
102, come
102, out
102, among
102, the
102, people
102, that
102, walk
102, with
103, their
103, heads
103, downward!
103, The
103, Antipathies,
103, I
103, think--'
103, (she
103, was
103, rather
103, glad
104, there
104, WAS
104, no
104, one
104, listening,
104, this
104, time,
104, as
104, it
104, didn't
104, sound
104, at
104, all
104, the
105, right
105, word)
105, '--but
105, I
105, shall
105, have
105, to
105, ask
105, them
105, what
105, the
105, name
105, of
105, the
105, country
106, is,
106, you
106, know.
106, Please,
106, Ma'am,
106, is
106, this
106, New
106, Zealand
106, or
106, Australia?'
106, (and
107, she
107, tried
107, to
107, curtsey
107, as
107, she
107, spoke--fancy
107, CURTSEYING
107, as
107, you're
107, falling
108, through
108, the
108, air!
108, Do
108, you
108, think
108, you
108, could
108, manage
108, it?)
108, 'And
108, what
108, an
109, ignorant
109, little
109, girl
109, she'll
109, think
109, me
109, for
109, asking!
109, No,
109, it'll
109, never
109, do
109, to
110, ask:
110, perhaps
110, I
110, shall
110, see
110, it
110, written
110, up
110, somewhere.'
111, 
112, Down,
112, down,
112, down.
112, There
112, was
112, nothing
112, else
112, to
112, do,
112, so
112, Alice
112, soon
112, began
113, talking
113, again.
113, 'Dinah'll
113, miss
113, me
113, very
113, much
113, to-night,
113, I
113, should
113, think!'
114, (Dinah
114, was
114, the
114, cat.)
114, 'I
114, hope
114, they'll
114, remember
114, her
114, saucer
114, of
114, milk
114, at
115, tea-time.
115, Dinah
115, my
115, dear!
115, I
115, wish
115, you
115, were
115, down
115, here
115, with
115, me!
115, There
115, are
115, no
116, mice
116, in
116, the
116, air,
116, I'm
116, afraid,
116, but
116, you
116, might
116, catch
116, a
116, bat,
116, and
116, that's
116, very
117, like
117, a
117, mouse,
117, you
117, know.
117, But
117, do
117, cats
117, eat
117, bats,
117, I
117, wonder?'
117, And
117, here
117, Alice
118, began
118, to
118, get
118, rather
118, sleepy,
118, and
118, went
118, on
118, saying
118, to
118, herself,
118, in
118, a
118, dreamy
119, sort
119, of
119, way,
119, 'Do
119, cats
119, eat
119, bats?
119, Do
119, cats
119, eat
119, bats?'
119, and
119, sometimes,
119, 'Do
120, bats
120, eat
120, cats?'
120, for,
120, you
120, see,
120, as
120, she
120, couldn't
120, answer
120, either
120, question,
121, it
121, didn't
121, much
121, matter
121, which
121, way
121, she
121, put
121, it.
121, She
121, felt
121, that
121, she
121, was
121, dozing
122, off,
122, and
122, had
122, just
122, begun
122, to
122, dream
122, that
122, she
122, was
122, walking
122, hand
122, in
122, hand
122, with
123, Dinah,
123, and
123, saying
123, to
123, her
123, very
123, earnestly,
123, 'Now,
123, Dinah,
123, tell
123, me
123, the
123, truth:
124, did
124, you
124, ever
124, eat
124, a
124, bat?'
124, when
124, suddenly,
124, thump!
124, thump!
124, down
124, she
124, came
124, upon
125, a
125, heap
125, of
125, sticks
125, and
125, dry
125, leaves,
125, and
125, the
125, fall
125, was
125, over.
126, 
127, Alice
127, was
127, not
127, a
127, bit
127, hurt,
127, and
127, she
127, jumped
127, up
127, on
127, to
127, her
127, feet
127, in
127, a
127, moment:
128, she
128, looked
128, up,
128, but
128, it
128, was
128, all
128, dark
128, overhead;
128, before
128, her
128, was
128, another
129, long
129, passage,
129, and
129, the
129, White
129, Rabbit
129, was
129, still
129, in
129, sight,
129, hurrying
129, down
129, it.
130, There
130, was
130, not
130, a
130, moment
130, to
130, be
130, lost:
130, away
130, went
130, Alice
130, like
130, the
130, wind,
130, and
131, was
131, just
131, in
131, time
131, to
131, hear
131, it
131, say,
131, as
131, it
131, turned
131, a
131, corner,
131, 'Oh
131, my
131, ears
132, and
132, whiskers,
132, how
132, late
132, it's
132, getting!'
132, She
132, was
132, close
132, behind
132, it
132, when
132, she
133, turned
133, the
133, corner,
133, but
133, the
133, Rabbit
133, was
133, no
133, longer
133, to
133, be
133, seen:
133, she
133, found
134, herself
134, in
134, a
134, long,
134, low
134, hall,
134, which
134, was
134, lit
134, up
134, by
134, a
134, row
134, of
134, lamps
134, hanging
135, from
135, the
135, roof.
136, 
137, There
137, were
137, doors
137, all
137, round
137, the
137, hall,
137, but
137, they
137, were
137, all
137, locked;
137, and
137, when
138, Alice
138, had
138, been
138, all
138, the
138, way
138, down
138, one
138, side
138, and
138, up
138, the
138, other,
138, trying
138, every
139, door,
139, she
139, walked
139, sadly
139, down
139, the
139, middle,
139, wondering
139, how
139, she
139, was
139, ever
139, to
140, get
140, out
140, again.
141, 
142, Suddenly
142, she
142, came
142, upon
142, a
142, little
142, three-legged
142, table,
142, all
142, made
142, of
142, solid
143, glass;
143, there
143, was
143, nothing
143, on
143, it
143, except
143, a
143, tiny
143, golden
143, key,
143, and
143, Alice's
144, first
144, thought
144, was
144, that
144, it
144, might
144, belong
144, to
144, one
144, of
144, the
144, doors
144, of
144, the
144, hall;
145, but,
145, alas!
145, either
145, the
145, locks
145, were
145, too
145, large,
145, or
145, the
145, key
145, was
145, too
145, small,
146, but
146, at
146, any
146, rate
146, it
146, would
146, not
146, open
146, any
146, of
146, them.
146, However,
146, on
146, the
146, second
147, time
147, round,
147, she
147, came
147, upon
147, a
147, low
147, curtain
147, she
147, had
147, not
147, noticed
147, before,
147, and
148, behind
148, it
148, was
148, a
148, little
148, door
148, about
148, fifteen
148, inches
148, high:
148, she
148, tried
148, the
149, little
149, golden
149, key
149, in
149, the
149, lock,
149, and
149, to
149, her
149, great
149, delight
149, it
149, fitted!
150, 
151, Alice
151, opened
151, the
151, door
151, and
151, found
151, that
151, it
151, led
151, into
151, a
151, small
151, passage,
151, not
152, much
152, larger
152, than
152, a
152, rat-hole:
152, she
152, knelt
152, down
152, and
152, looked
152, along
152, the
152, passage
153, into
153, the
153, loveliest
153, garden
153, you
153, ever
153, saw.
153, How
153, she
153, longed
153, to
153, get
153, out
153, of
154, that
154, dark
154, hall,
154, and
154, wander
154, about
154, among
154, those
154, beds
154, of
154, bright
154, flowers
154, and
155, those
155, cool
155, fountains,
155, but
155, she
155, could
155, not
155, even
155, get
155, her
155, head
155, through
155, the
156, doorway;
156, 'and
156, even
156, if
156, my
156, head
156, would
156, go
156, through,'
156, thought
156, poor
156, Alice,
156, 'it
157, would
157, be
157, of
157, very
157, little
157, use
157, without
157, my
157, shoulders.
157, Oh,
157, how
157, I
157, wish
157, I
157, could
158, shut
158, up
158, like
158, a
158, telescope!
158, I
158, think
158, I
158, could,
158, if
158, I
158, only
158, know
158, how
158, to
158, begin.'
159, For,
159, you
159, see,
159, so
159, many
159, out-of-the-way
159, things
159, had
159, happened
159, lately,
160, that
160, Alice
160, had
160, begun
160, to
160, think
160, that
160, very
160, few
160, things
160, indeed
160, were
160, really
161, impossible.
162, 
163, There
163, seemed
163, to
163, be
163, no
163, use
163, in
163, waiting
163, by
163, the
163, little
163, door,
163, so
163, she
163, went
164, back
164, to
164, the
164, table,
164, half
164, hoping
164, she
164, might
164, find
164, another
164, key
164, on
164, it,
164, or
164, at
165, any
165, rate
165, a
165, book
165, of
165, rules
165, for
165, shutting
165, people
165, up
165, like
165, telescopes:
165, this
166, time
166, she
166, found
166, a
166, little
166, bottle
166, on
166, it,
166, ('which
166, certainly
166, was
166, not
166, here
167, before,'
167, said
167, Alice,)
167, and
167, round
167, the
167, neck
167, of
167, the
167, bottle
167, was
167, a
167, paper
168, label,
168, with
168, the
168, words
168, 'DRINK
168, ME'
168, beautifully
168, printed
168, on
168, it
168, in
168, large
169, letters.
170, 
171, It
171, was
171, all
171, very
171, well
171, to
171, say
171, 'Drink
171, me,'
171, but
171, the
171, wise
171, little
171, Alice
171, was
172, not
172, going
172, to
172, do
172, THAT
172, in
172, a
172, hurry.
172, 'No,
172, I'll
172, look
172, first,'
172, she
172, said,
172, 'and
173, see
173, whether
173, it's
173, marked
173, "poison"
173, or
173, not';
173, for
173, she
173, had
173, read
173, several
173, nice
174, little
174, histories
174, about
174, children
174, who
174, had
174, got
174, burnt,
174, and
174, eaten
174, up
174, by
174, wild
175, beasts
175, and
175, other
175, unpleasant
175, things,
175, all
175, because
175, they
175, WOULD
175, not
175, remember
176, the
176, simple
176, rules
176, their
176, friends
176, had
176, taught
176, them:
176, such
176, as,
176, that
176, a
176, red-hot
177, poker
177, will
177, burn
177, you
177, if
177, you
177, hold
177, it
177, too
177, long;
177, and
177, that
177, if
177, you
177, cut
177, your
178, finger
178, VERY
178, deeply
178, with
178, a
178, knife,
178, it
178, usually
178, bleeds;
178, and
178, she
178, had
178, never
179, forgotten
179, that,
179, if
179, you
179, drink
179, much
179, from
179, a
179, bottle
179, marked
179, 'poison,'
179, it
179, is
180, almost
180, certain
180, to
180, disagree
180, with
180, you,
180, sooner
180, or
180, later.
181, 
182, However,
182, this
182, bottle
182, was
182, NOT
182, marked
182, 'poison,'
182, so
182, Alice
182, ventured
182, to
182, taste
183, it,
183, and
183, finding
183, it
183, very
183, nice,
183, (it
183, had,
183, in
183, fact,
183, a
183, sort
183, of
183, mixed
183, flavour
184, of
184, cherry-tart,
184, custard,
184, pine-apple,
184, roast
184, turkey,
184, toffee,
184, and
184, hot
185, buttered
185, toast,)
185, she
185, very
185, soon
185, finished
185, it
185, off.
186, 
187, *
187, 
187, 
187, 
187, *
187, 
187, 
187, 
187, *
187, 
187, 
187, 
187, *
187, 
187, 
187, 
187, *
187, 
187, 
187, 
187, *
187, 
187, 
187, 
187, *
188, 
189, *
189, 
189, 
189, 
189, *
189, 
189, 
189, 
189, *
189, 
189, 
189, 
189, *
189, 
189, 
189, 
189, *
189, 
189, 
189, 
189, *
190, 
191, *
191, 
191, 
191, 
191, *
191, 
191, 
191, 
191, *
191, 
191, 
191, 
191, *
191, 
191, 
191, 
191, *
191, 
191, 
191, 
191, *
191, 
191, 
191, 
191, *
192, 
193, 'What
193, a
193, curious
193, feeling!'
193, said
193, Alice;
193, 'I
193, must
193, be
193, shutting
193, up
193, like
193, a
194, telescope.'
195, 
196, And
196, so
196, it
196, was
196, indeed:
196, she
196, was
196, now
196, only
196, ten
196, inches
196, high,
196, and
196, her
196, face
197, brightened
197, up
197, at
197, the
197, thought
197, that
197, she
197, was
197, now
197, the
197, right
197, size
197, for
197, going
198, through
198, the
198, little
198, door
198, into
198, that
198, lovely
198, garden.
198, First,
198, however,
198, she
199, waited
199, for
199, a
199, few
199, minutes
199, to
199, see
199, if
199, she
199, was
199, going
199, to
199, shrink
199, any
199, further:
200, she
200, felt
200, a
200, little
200, nervous
200, about
200, this;
200, 'for
200, it
200, might
200, end,
200, you
200, know,'
200, said
201, Alice
201, to
201, herself,
201, 'in
201, my
201, going
201, out
201, altogether,
201, like
201, a
201, candle.
201, I
201, wonder
202, what
202, I
202, should
202, be
202, like
202, then?'
202, And
202, she
202, tried
202, to
202, fancy
202, what
202, the
202, flame
202, of
202, a
203, candle
203, is
203, like
203, after
203, the
203, candle
203, is
203, blown
203, out,
203, for
203, she
203, could
203, not
203, remember
204, ever
204, having
204, seen
204, such
204, a
204, thing.
205, 
206, After
206, a
206, while,
206, finding
206, that
206, nothing
206, more
206, happened,
206, she
206, decided
206, on
206, going
207, into
207, the
207, garden
207, at
207, once;
207, but,
207, alas
207, for
207, poor
207, Alice!
207, when
207, she
207, got
207, to
207, the
208, door,
208, she
208, found
208, she
208, had
208, forgotten
208, the
208, little
208, golden
208, key,
208, and
208, when
208, she
209, went
209, back
209, to
209, the
209, table
209, for
209, it,
209, she
209, found
209, she
209, could
209, not
209, possibly
209, reach
210, it:
210, she
210, could
210, see
210, it
210, quite
210, plainly
210, through
210, the
210, glass,
210, and
210, she
210, tried
210, her
211, best
211, to
211, climb
211, up
211, one
211, of
211, the
211, legs
211, of
211, the
211, table,
211, but
211, it
211, was
211, too
211, slippery;
212, and
212, when
212, she
212, had
212, tired
212, herself
212, out
212, with
212, trying,
212, the
212, poor
212, little
212, thing
213, sat
213, down
213, and
213, cried.
214, 
215, 'Come,
215, there's
215, no
215, use
215, in
215, crying
215, like
215, that!'
215, said
215, Alice
215, to
215, herself,
216, rather
216, sharply;
216, 'I
216, advise
216, you
216, to
216, leave
216, off
216, this
216, minute!'
216, She
216, generally
217, gave
217, herself
217, very
217, good
217, advice,
217, (though
217, she
217, very
217, seldom
217, followed
217, it),
218, and
218, sometimes
218, she
218, scolded
218, herself
218, so
218, severely
218, as
218, to
218, bring
218, tears
218, into
219, her
219, eyes;
219, and
219, once
219, she
219, remembered
219, trying
219, to
219, box
219, her
219, own
219, ears
219, for
219, having
220, cheated
220, herself
220, in
220, a
220, game
220, of
220, croquet
220, she
220, was
220, playing
220, against
220, herself,
221, for
221, this
221, curious
221, child
221, was
221, very
221, fond
221, of
221, pretending
221, to
221, be
221, two
221, people.
222, 'But
222, it's
222, no
222, use
222, now,'
222, thought
222, poor
222, Alice,
222, 'to
222, pretend
222, to
222, be
222, two
222, people!
223, Why,
223, there's
223, hardly
223, enough
223, of
223, me
223, left
223, to
223, make
223, ONE
223, respectable
223, person!'
224, 
225, Soon
225, her
225, eye
225, fell
225, on
225, a
225, little
225, glass
225, box
225, that
225, was
225, lying
225, under
225, the
225, table:
226, she
226, opened
226, it,
226, and
226, found
226, in
226, it
226, a
226, very
226, small
226, cake,
226, on
226, which
226, the
226, words
227, 'EAT
227, ME'
227, were
227, beautifully
227, marked
227, in
227, currants.
227, 'Well,
227, I'll
227, eat
227, it,'
227, said
228, Alice,
228, 'and
228, if
228, it
228, makes
228, me
228, grow
228, larger,
228, I
228, can
228, reach
228, the
228, key;
228, and
228, if
228, it
229, makes
229, me
229, grow
229, smaller,
229, I
229, can
229, creep
229, under
229, the
229, door;
229, so
229, either
229, way
229, I'll
230, get
230, into
230, the
230, garden,
230, and
230, I
230, don't
230, care
230, which
230, happens!'
231, 
232, She
232, ate
232, a
232, little
232, bit,
232, and
232, said
232, anxiously
232, to
232, herself,
232, 'Which
232, way?
232, Which
233, way?',
233, holding
233, her
233, hand
233, on
233, the
233, top
233, of
233, her
233, head
233, to
233, feel
233, which
233, way
233, it
233, was
234, growing,
234, and
234, she
234, was
234, quite
234, surprised
234, to
234, find
234, that
234, she
234, remained
234, the
234, same
235, size:
235, to
235, be
235, sure,
235, this
235, generally
235, happens
235, when
235, one
235, eats
235, cake,
235, but
235, Alice
236, had
236, got
236, so
236, much
236, into
236, the
236, way
236, of
236, expecting
236, nothing
236, but
236, out-of-the-way
237, things
237, to
237, happen,
237, that
237, it
237, seemed
237, quite
237, dull
237, and
237, stupid
237, for
237, life
237, to
237, go
237, on
238, in
238, the
238, common
238, way.
239, 
240, So
240, she
240, set
240, to
240, work,
240, and
240, very
240, soon
240, finished
240, off
240, the
240, cake.
241, 
242, *
242, 
242, 
242, 
242, *
242, 
242, 
242, 
242, *
242, 
242, 
242, 
242, *
242, 
242, 
242, 
242, *
242, 
242, 
242, 
242, *
242, 
242, 
242, 
242, *
243, 
244, *
244, 
244, 
244, 
244, *
244, 
244, 
244, 
244, *
244, 
244, 
244, 
244, *
244, 
244, 
244, 
244, *
244, 
244, 
244, 
244, *
245, 
246, *
246, 
246, 
246, 
246, *
246, 
246, 
246, 
246, *
246, 
246, 
246, 
246, *
246, 
246, 
246, 
246, *
246, 
246, 
246, 
246, *
246, 
246, 
246, 
246, *
247, 
248, 
249, 
250, 
251, CHAPTER
251, II.
251, The
251, Pool
251, of
251, Tears
252, 
253, 'Curiouser
253, and
253, curiouser!'
253, cried
253, Alice
253, (she
253, was
253, so
253, much
253, surprised,
253, that
254, for
254, the
254, moment
254, she
254, quite
254, forgot
254, how
254, to
254, speak
254, good
254, English);
254, 'now
254, I'm
255, opening
255, out
255, like
255, the
255, largest
255, telescope
255, that
255, ever
255, was!
255, Good-bye,
255, feet!'
256, (for
256, when
256, she
256, looked
256, down
256, at
256, her
256, feet,
256, they
256, seemed
256, to
256, be
256, almost
256, out
256, of
257, sight,
257, they
257, were
257, getting
257, so
257, far
257, off).
257, 'Oh,
257, my
257, poor
257, little
257, feet,
257, I
257, wonder
258, who
258, will
258, put
258, on
258, your
258, shoes
258, and
258, stockings
258, for
258, you
258, now,
258, dears?
258, I'm
258, sure
259, _I_
259, shan't
259, be
259, able!
259, I
259, shall
259, be
259, a
259, great
259, deal
259, too
259, far
259, off
259, to
259, trouble
260, myself
260, about
260, you:
260, you
260, must
260, manage
260, the
260, best
260, way
260, you
260, can;--but
260, I
260, must
260, be
261, kind
261, to
261, them,'
261, thought
261, Alice,
261, 'or
261, perhaps
261, they
261, won't
261, walk
261, the
261, way
261, I
261, want
262, to
262, go!
262, Let
262, me
262, see:
262, I'll
262, give
262, them
262, a
262, new
262, pair
262, of
262, boots
262, every
262, Christmas.'
263, 
264, And
264, she
264, went
264, on
264, planning
264, to
264, herself
264, how
264, she
264, would
264, manage
264, it.
264, 'They
264, must
265, go
265, by
265, the
265, carrier,'
265, she
265, thought;
265, 'and
265, how
265, funny
265, it'll
265, seem,
265, sending
266, presents
266, to
266, one's
266, own
266, feet!
266, And
266, how
266, odd
266, the
266, directions
266, will
266, look!
267, 
268, ALICE'S
268, RIGHT
268, FOOT,
268, ESQ.
269, HEARTHRUG,
270, NEAR
270, THE
270, FENDER,
271, (WITH
271, ALICE'S
271, LOVE).
272, 
273, Oh
273, dear,
273, what
273, nonsense
273, I'm
273, talking!'
274, 
275, Just
275, then
275, her
275, head
275, struck
275, against
275, the
275, roof
275, of
275, the
275, hall:
275, in
275, fact
275, she
275, was
276, now
276, more
276, than
276, nine
276, feet
276, high,
276, and
276, she
276, at
276, once
276, took
276, up
276, the
276, little
276, golden
277, key
277, and
277, hurried
277, off
277, to
277, the
277, garden
277, door.
278, 
279, Poor
279, Alice!
279, It
279, was
279, as
279, much
279, as
279, she
279, could
279, do,
279, lying
279, down
279, on
279, one
279, side,
279, to
280, look
280, through
280, into
280, the
280, garden
280, with
280, one
280, eye;
280, but
280, to
280, get
280, through
280, was
280, more
281, hopeless
281, than
281, ever:
281, she
281, sat
281, down
281, and
281, began
281, to
281, cry
281, again.
282, 
283, 'You
283, ought
283, to
283, be
283, ashamed
283, of
283, yourself,'
283, said
283, Alice,
283, 'a
283, great
283, girl
283, like
284, you,'
284, (she
284, might
284, well
284, say
284, this),
284, 'to
284, go
284, on
284, crying
284, in
284, this
284, way!
284, Stop
284, this
285, moment,
285, I
285, tell
285, you!'
285, But
285, she
285, went
285, on
285, all
285, the
285, same,
285, shedding
285, gallons
285, of
286, tears,
286, until
286, there
286, was
286, a
286, large
286, pool
286, all
286, round
286, her,
286, about
286, four
286, inches
287, deep
287, and
287, reaching
287, half
287, down
287, the
287, hall.
288, 
289, After
289, a
289, time
289, she
289, heard
289, a
289, little
289, pattering
289, of
289, feet
289, in
289, the
289, distance,
289, and
290, she
290, hastily
290, dried
290, her
290, eyes
290, to
290, see
290, what
290, was
290, coming.
290, It
290, was
290, the
290, White
291, Rabbit
291, returning,
291, splendidly
291, dressed,
291, with
291, a
291, pair
291, of
291, white
291, kid
291, gloves
291, in
292, one
292, hand
292, and
292, a
292, large
292, fan
292, in
292, the
292, other:
292, he
292, came
292, trotting
292, along
292, in
292, a
292, great
293, hurry,
293, muttering
293, to
293, himself
293, as
293, he
293, came,
293, 'Oh!
293, the
293, Duchess,
293, the
293, Duchess!
294, Oh!
294, won't
294, she
294, be
294, savage
294, if
294, I've
294, kept
294, her
294, waiting!'
294, Alice
294, felt
294, so
295, desperate
295, that
295, she
295, was
295, ready
295, to
295, ask
295, help
295, of
295, any
295, one;
295, so,
295, when
295, the
295, Rabbit
296, came
296, near
296, her,
296, she
296, began,
296, in
296, a
296, low,
296, timid
296, voice,
296, 'If
296, you
296, please,
296, sir--'
297, The
297, Rabbit
297, started
297, violently,
297, dropped
297, the
297, white
297, kid
297, gloves
297, and
297, the
297, fan,
298, and
298, skurried
298, away
298, into
298, the
298, darkness
298, as
298, hard
298, as
298, he
298, could
298, go.
299, 
300, Alice
300, took
300, up
300, the
300, fan
300, and
300, gloves,
300, and,
300, as
300, the
300, hall
300, was
300, very
300, hot,
300, she
301, kept
301, fanning
301, herself
301, all
301, the
301, time
301, she
301, went
301, on
301, talking:
301, 'Dear,
301, dear!
301, How
302, queer
302, everything
302, is
